title,author_first_name,author_last_name,isbn,genre,publisher,publication_date_seconds,publication_date_nanos
Dune,Frank,Herbert,9780801950773,Science Fiction,Chilton Books,-157766400,0
Beloved,Toni,Morrison,9780394535970,Literary Fiction,Alfred A. Knopf,558748800,0
Carrie,Stephen,King,9780385086950,Horror,Doubleday,134352000,0
Rebecca,Daphne,du Maurier,9780099518471,Gothic Fiction,Victor Gollancz Ltd,-991526400,0
Coraline,Neil,Gaiman,9780061139376,Dark Fantasy,HarperCollins,1025568000,0
Matilda,Roald,Dahl,9780142410370,Childrens Fiction,Jonathan Cape,591667200,0
Holes,Louis,Sachar,9780440414803,Young Adult,Farrar Straus and Giroux,903571200,0
Twilight,Stephenie,Meyer,9780316015844,Fantasy Romance,Little Brown and Company,1128470400,0
Divergent,Veronica,Roth,9780062024039,Dystopian Fiction,Katherine Tegen Books,1303776000,0
Dracula,Bram,Stoker,9780486411095,Gothic Horror,Archibald Constable and Company,-2298931200,0
